ID	X	Y	Curve
516	4627	3.937	61230005_M
517	4657	3.613	61230005_M
518	4688	3.46	61230005_M
519	4718	3.091	61230005_M
520	4749	2.886	61230005_M
521	4780	2.905	61230005_M
522	4808	2.818	61230005_M
523	4839	2.816	61230005_M
524	4869	3.132	61230005_M
525	4900	3.582	61230005_M
526	4930	3.971	61230005_M
527	4961	4.262	61230005_M
528	4992	4.008	61230005_M
529	5022	3.85	61230005_M
530	5053	3.591	61230005_M
531	5083	3.241	61230005_M
532	5114	3.018	61230005_M
533	5145	2.923	61230005_M
534	5173	2.862	61230005_M
535	5204	2.89	61230005_M
536	5234	2.992	61230005_M
537	5265	3.183	61230005_M
538	5295	3.247	61230005_M
539	5326	3.307	61230005_M
540	5357	3.261	61230005_M
541	5387	3.143	61230005_M
542	5418	2.973	61230005_M
543	5448	2.761	61230005_M
544	5479	2.62	61230005_M
545	5510	2.59	61230005_M
546	5538	2.56	61230005_M
547	5569	2.68	61230005_M
548	5599	2.824	61230005_M
549	5630	3.141	61230005_M
550	5660	3.435	61230005_M
551	5691	3.665	61230005_M
552	5722	3.533	61230005_M
553	5752	3.386	61230005_M
554	5783	3.13	61230005_M
555	5813	2.89	61230005_M
556	5844	2.715	61230005_M
557	5875	2.722	61230005_M
558	5904	2.644	61230005_M
559	5935	2.677	61230005_M
560	5965	2.796	61230005_M
561	5996	2.954	61230005_M
562	6026	3.033	61230005_M
563	6057	3.068	61230005_M
564	6088	3.068	61230005_M
565	6118	2.974	61230005_M
566	6149	2.805	61230005_M
567	6179	2.611	61230005_M
568	6210	2.485	61230005_M
569	6241	2.472	61230005_M
570	6269	2.437	61230005_M
571	6300	2.505	61230005_M
572	6330	2.603	61230005_M
573	6361	2.94	61230005_M
574	6391	3.106	61230005_M
575	6422	3.188	61230005_M
576	6453	3.221	61230005_M
577	6483	3.054	61230005_M
578	6514	2.963	61230005_M
579	6544	2.679	61230005_M
580	6575	2.528	61230005_M
581	6606	2.467	61230005_M
582	6634	2.45	61230005_M
583	6665	2.508	61230005_M
584	6695	2.613	61230005_M
585	6726	2.858	61230005_M
586	6756	3.019	61230005_M
587	6787	3.062	61230005_M
588	6818	2.996	61230005_M
589	6848	2.935	61230005_M
590	6879	2.739	61230005_M
591	6909	2.538	61230005_M
592	6940	2.478	61230005_M
593	6971	2.421	61230005_M
594	6999	2.391	61230005_M
595	7030	2.522	61230005_M
596	7060	2.703	61230005_M
597	7091	2.962	61230005_M
598	7121	3.47	61230005_M
599	7152	3.485	61230005_M
